Year,Partner_ISO,Partner_Name,Import_Share
2007,CHN,China,13.052854760292396
2007,USA,United States,8.850816290806508
2007,ARE,UAE,0.0
2007,SAU,Saudi Arabia,0.5915352064145238
2007,IRQ,Iraq,0.0
2007,CHE,Switzerland,6.698920926865874
2007,KOR,South Korea,3.581888250195892
2007,JPN,Japan,3.340846328521789
2007,DEU,Germany,5.339193267613325
2007,SGP,Singapore,6.055695870863517
2008,CHN,China,13.470859369360799
2008,USA,United States,7.395261105590231
2008,ARE,UAE,2.080489176329828
2008,SAU,Saudi Arabia,0.5479312344870775
2008,IRQ,Iraq,0.0
2008,CHE,Switzerland,6.006758876991237
2008,KOR,South Korea,3.8286307019111385
2008,JPN,Japan,3.3673515430580365
2008,DEU,Germany,5.17230077344588
2008,SGP,Singapore,5.321999519685381
2009,CHN,China,13.123795891899803
2009,USA,United States,6.471613129446075
2009,ARE,UAE,2.632656121978856
2009,SAU,Saudi Arabia,0.527148644212483
2009,IRQ,Iraq,0.0
2009,CHE,Switzerland,5.158718105928402
2009,KOR,South Korea,3.544893313030606
2009,JPN,Japan,2.8039881969987457
2009,DEU,Germany,5.011145537862614
2009,SGP,Singapore,4.143528243879572
2010,CHN,China,14.390360121787287
2010,USA,United States,5.775209774181717
2010,ARE,UAE,2.6785288819429387
2010,SAU,Saudi Arabia,0.6027764142456253
2010,IRQ,Iraq,0.0
2010,CHE,Switzerland,0.8668536480961097
2010,KOR,South Korea,4.0218047656278255
2010,JPN,Japan,3.1803475903024054
2010,DEU,Germany,4.355041779498451
2010,SGP,Singapore,4.70730068288562
2011,CHN,China,14.176103062676518
2011,USA,United States,4.932783416033379
2011,ARE,UAE,2.7676884596134617
2011,SAU,Saudi Arabia,0.6189129255970914
2011,IRQ,Iraq,0.0
2011,CHE,Switzerland,0.9438589176827815
2011,KOR,South Korea,3.5496287073154145
2011,JPN,Japan,3.107478472750314
2011,DEU,Germany,4.261097667706417
2011,SGP,Singapore,4.017070740918922
2012,CHN,China,12.668539473896953
2012,USA,United States,4.9804867257876
2012,ARE,UAE,2.4423542699552763
2012,SAU,Saudi Arabia,0.6495234145538218
2012,IRQ,Iraq,0.0
2012,CHE,Switzerland,8.137924192884086
2012,KOR,South Korea,3.1678453156511113
2012,JPN,Japan,2.814050314769359
2012,DEU,Germany,3.5726553166529658
2012,SGP,Singapore,3.1397262948101687
2013,CHN,China,13.849963345926975
2013,USA,United States,4.817823547333175
2013,ARE,UAE,2.208357174518507
2013,SAU,Saudi Arabia,0.7675059238395897
2013,IRQ,Iraq,0.0
2013,CHE,Switzerland,7.398173793960459
2013,KOR,South Korea,3.253075751118595
2013,JPN,Japan,2.457304412824862
2013,DEU,Germany,3.4944158215258745
2013,SGP,Singapore,3.274500224261181
2014,CHN,China,15.23634617484531
2014,USA,United States,4.6673536456272275
2014,ARE,UAE,1.502891021203069
2014,SAU,Saudi Arabia,1.0446704763540586
2014,IRQ,Iraq,0.0
2014,CHE,Switzerland,5.937565986255461
2014,KOR,South Korea,3.5929862398247976
2014,JPN,Japan,2.2847804249226855
2014,DEU,Germany,3.3399968935612305
2014,SGP,Singapore,3.2307288043635807
2015,CHN,China,18.012395972760082
2015,USA,United States,5.133176239718527
2015,ARE,UAE,1.6925922036478365
2015,SAU,Saudi Arabia,0.9723462500943386
2015,IRQ,Iraq,0.0
2015,CHE,Switzerland,6.62229775160618
2015,KOR,South Korea,3.721260896129328
2015,JPN,Japan,2.5087217469130545
2015,DEU,Germany,3.362654169646912
2015,SGP,Singapore,3.40078806989085
2016,CHN,China,19.107728250925998
2016,USA,United States,5.125133138586829
2016,ARE,UAE,1.4971082752122267
2016,SAU,Saudi Arabia,0.928613486844001
2016,IRQ,Iraq,0.0
2016,CHE,Switzerland,4.7569061386783185
2016,KOR,South Korea,3.7942178549067327
2016,JPN,Japan,2.6793593577307777
2016,DEU,Germany,3.5688954541954825
2016,SGP,Singapore,3.2838097155493053
2017,CHN,China,17.54159366753302
2017,USA,United States,5.176916379275352
2017,ARE,UAE,1.346002063835816
2017,SAU,Saudi Arabia,0.7183939938321411
2017,IRQ,Iraq,0.0
2017,CHE,Switzerland,5.130652161254151
2017,KOR,South Korea,3.8813856144549734
2017,JPN,Japan,2.283427192240557
2017,DEU,Germany,3.1308109942551408
2017,SGP,Singapore,2.839073961921429
2018,CHN,China,17.877283657893717
2018,USA,United States,6.332685531957027
2018,ARE,UAE,1.1355174566353672
2018,SAU,Saudi Arabia,0.8019686667779647
2018,IRQ,Iraq,0.0
2018,CHE,Switzerland,4.158979262442668
2018,KOR,South Korea,3.6386625502313508
2018,JPN,Japan,2.5671188720994267
2018,DEU,Germany,3.4690519648814004
2018,SGP,Singapore,2.875146367961215
2019,CHN,China,18.55715586880754
2019,USA,United States,7.070326034540951
2019,ARE,UAE,1.6178423740189831
2019,SAU,Saudi Arabia,0.9435344669768121
2019,IRQ,Iraq,0.0
2019,CHE,Switzerland,4.478565307356397
2019,KOR,South Korea,3.7439799321994442
2019,JPN,Japan,2.721903477707191
2019,DEU,Germany,3.333089416224423
2019,SGP,Singapore,2.837386339049872
2020,CHN,China,20.791225541001108
2020,USA,United States,7.115540693757957
2020,ARE,UAE,1.6911536563768153
2020,SAU,Saudi Arabia,0.9630303126001405
2020,IRQ,Iraq,0.0
2020,CHE,Switzerland,3.60453027210764
2020,KOR,South Korea,3.719925091658278
2020,JPN,Japan,2.8367378579631413
2020,DEU,Germany,3.8214066812200262
2020,SGP,Singapore,2.8569801803359707
2021,CHN,China,20.075577271860332
2021,USA,United States,6.47794731377661
2021,ARE,UAE,2.623499731614887
2021,SAU,Saudi Arabia,1.0403126592192824
2021,IRQ,Iraq,0.0
2021,CHE,Switzerland,6.543300721975662
2021,KOR,South Korea,3.250534311742582
2021,JPN,Japan,2.6783343102201984
2021,DEU,Germany,3.0805422625527443
2021,SGP,Singapore,2.627691099087445
2022,CHN,China,21.717896009232714
2022,USA,United States,7.028580525905586
2022,ARE,UAE,2.2896885284516886
2022,SAU,Saudi Arabia,1.4793421330204117
2022,IRQ,Iraq,0.0
2022,CHE,Switzerland,2.744678253078181
2022,KOR,South Korea,3.4583372859267083
2022,JPN,Japan,2.5525440240795274
2022,DEU,Germany,2.910131142342718
2022,SGP,Singapore,2.5472586697775403
2023,CHN,China,22.761820310801124
2023,USA,United States,6.433237922383279
2023,ARE,UAE,2.5112312044447265
2023,SAU,Saudi Arabia,1.1646205649712786
2023,IRQ,Iraq,0.0
2023,CHE,Switzerland,3.2438170142761678
2023,KOR,South Korea,3.463254572343097
2023,JPN,Japan,3.0773374584323885
2023,DEU,Germany,3.51443797917859
2023,SGP,Singapore,2.7922677624755097
2024,CHN,China,23.940608284993488
2024,USA,United States,6.824040185605209
2024,ARE,UAE,0.0
2024,SAU,Saudi Arabia,1.2266864195945575
2024,IRQ,Iraq,0.0
2024,CHE,Switzerland,4.489785319645165
2024,KOR,South Korea,3.708744655459363
2024,JPN,Japan,3.419918696156312
2024,DEU,Germany,3.545297220450362
2024,SGP,Singapore,3.007132916620657
